[03:40:34.090] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:40:34.093] 553 iterations per epoch. 82950 max iterations 
[03:43:12.698] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:43:12.701] 553 iterations per epoch. 82950 max iterations 
[03:46:12.009] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/Synapse', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:46:12.012] 553 iterations per epoch. 82950 max iterations 
[03:46:51.095] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/Synapse/train_npz', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=4, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:46:51.098] 553 iterations per epoch. 82950 max iterations 
[03:51:27.950] Namespace(train_path='/home/shivam/Desktop/shivam/classiitb/mic/ParaTransCNN-master/data/Synapse/train_npz', checkpoint_path='./checkpoints/ParaTransCNN_SGD_0.01_150_Synapse', dataset='Synapse', list_dir='./lists/lists_Synapse', num_classes=9, max_epochs=150, batch_size=1, n_gpu=1, deterministic=1, base_lr=0.01, img_size=224, seed=1234, model_name='ParaTransCNN')
[03:51:27.967] 2211 iterations per epoch. 331650 max iterations 
[03:51:30.479] time(h): (0.000697/231.307835), epoch: (0/150), iteration: 1, loss: 1.625326, loss_ce: 2.273428, loss_dice: 0.977223, lr: 0.010000
[03:51:30.985] time(h): (0.000281/46.594520), epoch: (0/150), iteration: 2, loss: 1.577302, loss_ce: 2.230077, loss_dice: 0.924527, lr: 0.010000
[03:51:31.487] time(h): (0.000418/46.239488), epoch: (0/150), iteration: 3, loss: 1.578196, loss_ce: 2.197685, loss_dice: 0.958706, lr: 0.010000
[03:51:31.990] time(h): (0.000558/46.235886), epoch: (0/150), iteration: 4, loss: 1.551364, loss_ce: 2.128945, loss_dice: 0.973784, lr: 0.010000
[03:51:32.490] time(h): (0.000695/46.079984), epoch: (0/150), iteration: 5, loss: 1.505354, loss_ce: 2.039302, loss_dice: 0.971405, lr: 0.010000
[03:51:32.991] time(h): (0.000834/46.120815), epoch: (0/150), iteration: 6, loss: 1.430627, loss_ce: 1.960951, loss_dice: 0.900303, lr: 0.010000
[03:51:33.494] time(h): (0.000976/46.245792), epoch: (0/150), iteration: 7, loss: 1.382612, loss_ce: 1.826023, loss_dice: 0.939201, lr: 0.010000
[03:51:33.996] time(h): (0.001116/46.248274), epoch: (0/150), iteration: 8, loss: 1.338509, loss_ce: 1.782214, loss_dice: 0.894805, lr: 0.010000
[03:51:34.503] time(h): (0.001266/46.649277), epoch: (0/150), iteration: 9, loss: 1.247129, loss_ce: 1.540049, loss_dice: 0.954208, lr: 0.010000
[03:51:35.007] time(h): (0.001398/46.366925), epoch: (0/150), iteration: 10, loss: 1.169104, loss_ce: 1.390597, loss_dice: 0.947610, lr: 0.010000
[03:51:35.511] time(h): (0.001539/46.398576), epoch: (0/150), iteration: 11, loss: 1.083857, loss_ce: 1.227958, loss_dice: 0.939756, lr: 0.010000
[03:51:36.015] time(h): (0.001679/46.399564), epoch: (0/150), iteration: 12, loss: 0.993574, loss_ce: 1.056331, loss_dice: 0.930817, lr: 0.010000
[03:51:36.520] time(h): (0.001821/46.460779), epoch: (0/150), iteration: 13, loss: 0.905395, loss_ce: 0.889170, loss_dice: 0.921620, lr: 0.010000
[03:51:37.019] time(h): (0.001939/45.929638), epoch: (0/150), iteration: 14, loss: 0.880951, loss_ce: 0.905949, loss_dice: 0.855954, lr: 0.010000
[03:51:37.522] time(h): (0.002095/46.315265), epoch: (0/150), iteration: 15, loss: 0.807248, loss_ce: 0.728999, loss_dice: 0.885496, lr: 0.010000
